================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
127.0.0.1:52165            <-> 127.0.0.1:6401                1207 18 MB         321 18 kB        1528 18 MB        12.022428000         9.9653
127.0.0.1:52161            <-> 127.0.0.1:6401                 852 12 MB         231 13 kB        1083 12 MB         7.986105000         7.0005
127.0.0.1:52168            <-> 127.0.0.1:6400                 850 12 MB         230 13 kB        1080 12 MB        14.986666000         6.9980
127.0.0.1:52159            <-> 127.0.0.1:6400                 730 11 MB         200 11 kB         930 11 MB         1.992137000         5.9937
127.0.0.1:52166            <-> 127.0.0.1:6401                 306 1,942 kB      307 17 kB         613 1,960 kB     12.022462000         9.9653
127.0.0.1:52162            <-> 127.0.0.1:6401                 217 1,364 kB      218 12 kB         435 1,377 kB      7.986167000         7.0004
127.0.0.1:52169            <-> 127.0.0.1:6400                 216 1,364 kB      217 12 kB         433 1,376 kB     14.986745000         6.9979
127.0.0.1:52160            <-> 127.0.0.1:6400                 186 1,169 kB      187 10 kB         373 1,180 kB      1.992239000         5.9937
127.0.0.1:52155            <-> 127.0.0.1:6401                 251 3,617 kB       81 4,735 bytes     332 3,622 kB      0.000000000         1.9895
127.0.0.1:52156            <-> 127.0.0.1:6401                  66 390 kB         67 3,797 bytes     133 394 kB        0.001068000         1.9909
127.0.0.1:52157            <-> 127.0.0.1:6401                  17 1,465 bytes      18 1,020 bytes      35 2,485 bytes     1.988118000        19.9970
127.0.0.1:52163            <-> 127.0.0.1:6401                  10 822 bytes      12 871 bytes      22 1,693 bytes    12.008526000         0.0127
127.0.0.1:52167            <-> 127.0.0.1:6400                  11 931 bytes      10 608 bytes      21 1,539 bytes    14.986561000         8.9975
127.0.0.1:52158            <-> 127.0.0.1:6400                   9 770 bytes      10 596 bytes      19 1,366 bytes     1.990644000         5.9958
127.0.0.1:52164            <-> 127.0.0.1:6401                   7 654 bytes       9 549 bytes      16 1,203 bytes    12.010352000         0.0120
================================================================================
